Date,Open,High,Low,Close
28-Feb-2019,10865.70,10865.70,10784.85,10792.50
01-Mar-2019,10842.65,10877.90,10823.10,10863.50
05-Mar-2019,10864.85,10994.90,10817.00,10987.45
06-Mar-2019,11024.85,11062.30,10998.85,11053.00
07-Mar-2019,11077.95,11089.05,11027.10,11058.20
08-Mar-2019,11038.85,11049.00,11008.95,11035.40
11-Mar-2019,11068.75,11180.90,11059.85,11168.05
12-Mar-2019,11231.35,11320.40,11227.00,11301.20
13-Mar-2019,11326.20,11352.30,11276.60,11341.70
14-Mar-2019,11382.50,11383.45,11313.75,11343.25
15-Mar-2019,11376.85,11487.00,11370.80,11426.85
18-Mar-2019,11473.85,11530.15,11412.50,11462.20
19-Mar-2019,11500.30,11543.85,11451.25,11532.40
20-Mar-2019,11553.35,11556.10,11503.10,11521.05
22-Mar-2019,11549.20,11572.80,11434.55,11456.90
25-Mar-2019,11395.65,11395.65,11311.60,11354.25
26-Mar-2019,11375.20,11496.75,11352.45,11483.25
27-Mar-2019,11531.45,11546.20,11413.00,11445.05
28-Mar-2019,11463.65,11588.50,11452.45,11570.00
29-Mar-2019,11625.45,11630.35,11570.15,11623.90
01-Apr-2019,11665.20,11738.10,11644.75,11669.15
02-Apr-2019,11711.55,11729.35,11655.85,11713.20
03-Apr-2019,11735.30,11761.00,11629.15,11643.95
04-Apr-2019,11660.20,11662.55,11559.20,11598.00
05-Apr-2019,11638.40,11689.65,11609.50,11665.95
08-Apr-2019,11704.35,11710.30,11549.10,11604.50
09-Apr-2019,11612.05,11683.90,11569.70,11671.95
10-Apr-2019,11646.85,11680.05,11571.75,11584.30
11-Apr-2019,11592.55,11606.70,11550.55,11596.70
12-Apr-2019,11612.85,11657.35,11578.80,11643.45
15-Apr-2019,11667.00,11704.60,11648.25,11690.35
16-Apr-2019,11736.20,11810.95,11731.55,11787.15
18-Apr-2019,11856.15,11856.15,11738.50,11752.80
22-Apr-2019,11727.05,11727.05,11583.95,11594.45
23-Apr-2019,11612.95,11645.95,11564.80,11575.95
24-Apr-2019,11601.50,11740.85,11578.85,11726.15
25-Apr-2019,11735.70,11796.75,11624.30,11641.80
26-Apr-2019,11683.75,11762.90,11661.75,11754.65
30-Apr-2019,11748.75,11756.25,11655.90,11748.15
02-May-2019,11725.55,11789.30,11699.55,11724.75
03-May-2019,11722.60,11770.90,11699.35,11712.25
06-May-2019,11605.80,11632.55,11571.35,11598.25
07-May-2019,11651.50,11657.05,11484.45,11497.90
08-May-2019,11478.70,11479.10,11346.95,11359.45
09-May-2019,11322.40,11357.60,11255.05,11301.80
10-May-2019,11314.15,11345.80,11251.05,11278.90
13-May-2019,11258.70,11300.20,11125.60,11148.20
14-May-2019,11151.65,11294.75,11108.30,11222.05
15-May-2019,11271.70,11286.80,11136.95,11157.00
16-May-2019,11180.35,11281.55,11143.35,11257.10
17-May-2019,11261.90,11426.15,11259.85,11407.15
20-May-2019,11651.90,11845.20,11591.70,11828.25
21-May-2019,11863.65,11883.55,11682.80,11709.10
22-May-2019,11727.95,11784.80,11682.40,11737.90
23-May-2019,11901.30,12041.15,11614.50,11657.05
24-May-2019,11748.00,11859.00,11658.10,11844.10
27-May-2019,11855.50,11957.15,11812.40,11924.75
28-May-2019,11958.35,11958.55,11864.90,11928.75
29-May-2019,11905.80,11931.90,11836.80,11861.10
30-May-2019,11865.30,11968.55,11859.40,11945.90
31-May-2019,11999.80,12039.25,11829.45,11922.80
03-Jun-2019,11953.75,12103.05,11920.10,12088.55
04-Jun-2019,12052.65,12095.20,12005.85,12021.65
06-Jun-2019,12039.80,12039.80,11830.25,11843.75
07-Jun-2019,11865.20,11897.50,11769.50,11870.65
10-Jun-2019,11934.90,11975.05,11871.75,11922.70
11-Jun-2019,11959.85,12000.35,11904.35,11965.60
12-Jun-2019,11962.45,11962.45,11866.35,11906.20
13-Jun-2019,11873.90,11931.35,11817.05,11914.05
14-Jun-2019,11910.10,11911.85,11797.70,11823.30
17-Jun-2019,11844.00,11844.05,11657.75,11672.15
18-Jun-2019,11677.05,11727.20,11641.15,11691.50
19-Jun-2019,11744.45,11802.50,11625.10,11691.45
20-Jun-2019,11653.65,11843.50,11635.05,11831.75
21-Jun-2019,11827.60,11827.95,11705.10,11724.10
24-Jun-2019,11725.80,11754.00,11670.20,11699.65
25-Jun-2019,11681.00,11814.40,11651.00,11796.45
26-Jun-2019,11768.15,11871.85,11757.55,11847.55
27-Jun-2019,11860.85,11911.15,11821.05,11841.55
28-Jun-2019,11861.15,11871.70,11775.50,11788.85
01-Jul-2019,11839.90,11884.65,11830.80,11865.60
02-Jul-2019,11890.30,11917.45,11814.70,11910.30
03-Jul-2019,11932.15,11945.20,11887.05,11916.75
04-Jul-2019,11928.80,11969.25,11923.65,11946.75
05-Jul-2019,11964.75,11981.75,11797.90,11811.15
08-Jul-2019,11770.40,11771.90,11523.30,11558.60
09-Jul-2019,11531.60,11582.55,11461.00,11555.90
10-Jul-2019,11536.15,11593.70,11475.65,11498.90
11-Jul-2019,11561.45,11599.00,11519.50,11582.90
12-Jul-2019,11601.15,11639.55,11538.60,11552.50
15-Jul-2019,11614.75,11618.40,11532.30,11588.35
16-Jul-2019,11596.65,11670.05,11573.95,11662.60
17-Jul-2019,11670.75,11706.65,11651.15,11687.50
18-Jul-2019,11675.60,11677.15,11582.40,11596.90
19-Jul-2019,11627.95,11640.35,11399.30,11419.25
22-Jul-2019,11392.85,11398.15,11301.25,11346.20
23-Jul-2019,11372.25,11398.15,11302.80,11331.05
24-Jul-2019,11322.45,11359.75,11229.80,11271.30
25-Jul-2019,11290.40,11361.40,11239.35,11252.15
26-Jul-2019,11247.45,11307.60,11210.05,11284.30
29-Jul-2019,11307.50,11310.95,11152.40,11189.20
30-Jul-2019,11213.70,11267.45,11072.65,11085.40
31-Jul-2019,11034.05,11145.30,10999.40,11118.00
01-Aug-2019,11060.20,11076.75,10881.00,10980.00
02-Aug-2019,10930.30,11080.15,10848.95,10997.35
05-Aug-2019,10895.80,10895.80,10782.60,10862.60
06-Aug-2019,10815.40,11018.55,10813.80,10948.25
07-Aug-2019,10958.10,10975.65,10835.90,10855.50
08-Aug-2019,10899.20,11058.05,10842.95,11032.45
09-Aug-2019,11087.90,11181.45,11062.80,11109.65
13-Aug-2019,11139.40,11145.90,10901.60,10925.85
14-Aug-2019,11003.25,11078.15,10935.60,11029.40
16-Aug-2019,11043.65,11068.65,10924.30,11047.80
19-Aug-2019,11094.80,11146.90,11037.85,11053.90
20-Aug-2019,11063.90,11076.30,10985.30,11017.00
21-Aug-2019,11018.15,11034.20,10906.65,10918.70
22-Aug-2019,10905.30,10908.25,10718.30,10741.35
23-Aug-2019,10699.60,10862.55,10637.15,10829.35
26-Aug-2019,11000.30,11070.30,10756.55,11057.85
27-Aug-2019,11106.55,11141.75,11049.50,11105.35
28-Aug-2019,11101.30,11129.65,10987.65,11046.10
29-Aug-2019,10996.05,11021.10,10922.40,10948.30
30-Aug-2019,10987.80,11042.60,10874.80,11023.25
03-Sep-2019,10960.95,10967.50,10772.70,10797.90
04-Sep-2019,10790.40,10858.75,10746.35,10844.65
05-Sep-2019,10860.95,10920.10,10816.00,10847.90
06-Sep-2019,10883.80,10957.05,10867.45,10946.20
09-Sep-2019,10936.70,11028.85,10889.80,11003.05
11-Sep-2019,11028.50,11054.80,11011.65,11035.70
12-Sep-2019,11058.30,11081.75,10964.95,10982.80
13-Sep-2019,10986.80,11084.45,10945.75,11075.90
16-Sep-2019,10994.85,11052.70,10968.20,11003.50
17-Sep-2019,11000.10,11000.10,10796.50,10817.60
18-Sep-2019,10872.80,10885.15,10804.85,10840.65
19-Sep-2019,10845.20,10845.20,10670.25,10704.80
20-Sep-2019,10746.80,11381.90,10691.00,11274.20
23-Sep-2019,11542.70,11694.85,11471.35,11600.20
24-Sep-2019,11590.70,11655.05,11539.20,11588.20
25-Sep-2019,11564.85,11564.95,11416.10,11440.20
26-Sep-2019,11469.85,11610.85,11466.35,11571.20
27-Sep-2019,11556.35,11593.60,11499.75,11512.40
30-Sep-2019,11491.15,11508.25,11390.80,11474.45
01-Oct-2019,11515.40,11554.20,11247.90,11359.90
03-Oct-2019,11322.25,11370.40,11257.35,11314.00
04-Oct-2019,11388.45,11400.30,11158.35,11174.75
07-Oct-2019,11196.20,11233.85,11112.65,11126.40
09-Oct-2019,11152.95,11321.60,11090.15,11313.30
10-Oct-2019,11280.50,11293.35,11208.55,11234.55
11-Oct-2019,11257.70,11362.90,11189.40,11305.05
14-Oct-2019,11335.90,11420.45,11290.05,11341.15
15-Oct-2019,11360.85,11462.35,11342.10,11428.30
16-Oct-2019,11464.95,11481.05,11411.10,11464.00
17-Oct-2019,11466.30,11599.10,11439.65,11586.35
18-Oct-2019,11580.30,11684.70,11553.15,11661.85
22-Oct-2019,11657.15,11714.35,11573.65,11588.35
23-Oct-2019,11596.20,11651.60,11554.40,11604.10
24-Oct-2019,11661.65,11679.60,11534.65,11582.60
25-Oct-2019,11646.15,11646.90,11490.75,11583.90
27-Oct-2019,11662.25,11672.40,11604.60,11627.15
29-Oct-2019,11643.95,11809.40,11627.35,11786.85
30-Oct-2019,11883.90,11883.95,11784.45,11844.10
31-Oct-2019,11890.45,11945.00,11855.10,11877.45
01-Nov-2019,11886.60,11918.30,11843.35,11890.60
04-Nov-2019,11928.90,11989.15,11905.35,11941.30
